identifier	name	url	n_genes	n_coding_genes	source	license	genes	coding_genes
R-HSA-419408	Lysosphingolipid and LPA receptors	http://identifiers.org/reactome/R-HSA-419408	9	9	reactome		1901|1902|1903|23566|53637|57121|8698|9170|9294	1901|1902|1903|23566|53637|57121|8698|9170|9294
R-HSA-419771	Opsins	http://identifiers.org/reactome/R-HSA-419771	9	9	reactome		10692|221391|23596|2652|5956|5995|6010|611|94233	10692|221391|23596|2652|5956|5995|6010|611|94233
R-HSA-419812	Calcitonin-like ligand receptors	http://identifiers.org/reactome/R-HSA-419812	10	10	reactome		10203|10266|10267|10268|133|3375|796|797|799|79924	10203|10266|10267|10268|133|3375|796|797|799|79924
R-HSA-420029	Tight junction interactions	http://identifiers.org/reactome/R-HSA-420029	30	30	reactome		10207|10686|1364|1365|1366|137075|149461|23562|24146|26285|49861|5010|50848|50855|51208|53842|5584|56288|64398|7122|84552|84612|9069|9071|9073|9074|9075|9076|9080|92359	10207|10686|1364|1365|1366|137075|149461|23562|24146|26285|49861|5010|50848|50855|51208|53842|5584|56288|64398|7122|84552|84612|9069|9071|9073|9074|9075|9076|9080|92359
R-HSA-420092	Glucagon-type ligand receptors	http://identifiers.org/reactome/R-HSA-420092	33	33	reactome		10681|116|117|2641|2642|2691|2692|2695|2696|2740|2778|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|51764|54331|55970|59345|6343|6344|7432|7433|7434|9340|94235	10681|116|117|2641|2642|2691|2692|2695|2696|2740|2778|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|51764|54331|55970|59345|6343|6344|7432|7433|7434|9340|94235
R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	http://identifiers.org/reactome/R-HSA-420499	40	40	reactome		222545|2550|259285|259286|259287|259289|259290|259291|259292|259293|259294|259295|259296|2911|2912|2913|2914|2915|2916|2917|2918|338398|353164|50831|50832|50833|50834|50835|50836|50837|50838|50839|50840|54429|5726|80834|80835|83756|846|9568	222545|2550|259285|259286|259287|259289|259290|259291|259292|259293|259294|259295|259296|2911|2912|2913|2914|2915|2916|2917|2918|338398|353164|50831|50832|50833|50834|50835|50836|50837|50838|50839|50840|54429|5726|80834|80835|83756|846|9568
R-HSA-420597	Nectin/Necl trans heterodimerization	http://identifiers.org/reactome/R-HSA-420597	3	3	reactome		23705|57863|5817	23705|57863|5817
R-HSA-422085	Synthesis, secretion, and deacylation of Ghrelin	http://identifiers.org/reactome/R-HSA-422085	19	19	reactome		1395|23478|2641|2688|28972|3479|3630|3952|43|5122|51738|590|60559|619373|7349|7941|90701|9314|9789	1395|23478|2641|2688|28972|3479|3630|3952|43|5122|51738|590|60559|619373|7349|7941|90701|9314|9789
R-HSA-422356	Regulation of insulin secretion	http://identifiers.org/reactome/R-HSA-422356	28	28	reactome		10411|10768|11069|2770|2771|3630|3708|3709|3710|3767|5566|5567|5568|6513|6514|6616|6804|6812|6833|6844|6861|773|775|776|777|783|784|9254	10411|10768|11069|2770|2771|3630|3708|3709|3710|3767|5566|5567|5568|6513|6514|6616|6804|6812|6833|6844|6861|773|775|776|777|783|784|9254
R-HSA-425366	Transport of bile salts and organic acids, metal ions and amine compounds	http://identifiers.org/reactome/R-HSA-425366	11	11	reactome		126969|146802|204962|23446|345274|55244|57153|60482|6563|80736|8170	126969|146802|204962|23446|345274|55244|57153|60482|6563|80736|8170
R-HSA-425381	Bicarbonate transporters	http://identifiers.org/reactome/R-HSA-425381	10	10	reactome		23382|57282|57835|6508|6521|6522|83697|8671|9497|9498	23382|57282|57835|6508|6521|6522|83697|8671|9497|9498
R-HSA-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	http://identifiers.org/reactome/R-HSA-425393	8	8	reactome		115286|140679|1497|6505|6506|6507|6511|6512	115286|140679|1497|6505|6506|6507|6511|6512
R-HSA-425397	Transport of vitamins, nucleosides, and related molecules	http://identifiers.org/reactome/R-HSA-425397	3	3	reactome		51248|8884|9197	51248|8884|9197
R-HSA-425410	Metal ion SLC transporters	http://identifiers.org/reactome/R-HSA-425410	9	9	reactome		1317|1356|254428|30061|4891|55532|6556|84102|9843	1317|1356|254428|30061|4891|55532|6556|84102|9843
R-HSA-425561	Sodium/Calcium exchangers	http://identifiers.org/reactome/R-HSA-425561	11	11	reactome		123041|25769|283652|57419|6543|6546|6547|6717|80024|801|9187	123041|25769|283652|57419|6543|6546|6547|6717|80024|801|9187
R-HSA-425986	Sodium/Proton exchangers	http://identifiers.org/reactome/R-HSA-425986	9	9	reactome		10479|23315|285195|389015|6548|6549|6550|6553|84679	10479|23315|285195|389015|6548|6549|6550|6553|84679
R-HSA-426048	Arachidonate production from DAG	http://identifiers.org/reactome/R-HSA-426048	5	5	reactome		11343|221955|26090|57406|747	11343|221955|26090|57406|747
R-HSA-426117	Cation-coupled Chloride cotransporters	http://identifiers.org/reactome/R-HSA-426117	7	7	reactome		10723|57468|6557|6558|6559|6560|9990	10723|57468|6557|6558|6559|6560|9990
R-HSA-426486	Small interfering RNA (siRNA) biogenesis	http://identifiers.org/reactome/R-HSA-426486	9	9	reactome		192669|192670|23405|26523|27161|6895|7247|7257|8575	192669|192670|23405|26523|27161|6895|7247|7257|8575
R-HSA-426496	Post-transcriptional silencing by small RNAs	http://identifiers.org/reactome/R-HSA-426496	7	7	reactome		192669|192670|23112|26523|27161|27327|57690	192669|192670|23112|26523|27161|27327|57690
R-HSA-427359	SIRT1 negatively regulates rRNA expression	http://identifiers.org/reactome/R-HSA-427359	68	67	reactome		121504|126961|128312|23378|23411|255626|3012|3013|3014|3015|3017|3018|3020|3021|333932|474382|54145|554313|55766|653604|6839|6908|723790|79101|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|85236|8968|8970|9013|9014|9015|94239	121504|126961|128312|23378|23411|255626|3012|3013|3014|3015|3017|3018|3020|3021|333932|474382|554313|55766|653604|6839|6908|723790|79101|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|85236|8968|8970|9013|9014|9015|94239
R-HSA-427389	Activation of rRNA Expression by ERCC6 (CSB) and EHMT2 (G9a)	http://identifiers.org/reactome/R-HSA-427389	76	75	reactome		10919|1107|1108|11335|121504|126961|128312|2074|255626|3012|3013|3014|3015|3017|3018|3020|3021|3065|3066|333932|474382|53615|54145|54815|554313|55766|57459|57504|5928|5931|653604|723790|7270|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|85236|8968|8970|9112|9219|94239	10919|1107|1108|11335|121504|126961|128312|2074|255626|3012|3013|3014|3015|3017|3018|3020|3021|3065|3066|333932|474382|53615|54815|554313|55766|57459|57504|5928|5931|653604|723790|7270|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|85236|8968|8970|9112|9219|94239
R-HSA-427413	NoRC negatively regulates rRNA expression	http://identifiers.org/reactome/R-HSA-427413	106	105	reactome		1022|10284|10849|11176|121504|126961|128312|1786|1789|2068|2071|221830|23309|255626|25885|25942|29115|2965|2966|2967|2968|3012|3013|3014|3015|3017|3018|3020|3021|3065|3066|30834|333932|404672|4331|474382|51082|51742|54145|5434|5435|5437|5440|5441|554313|55766|64425|64426|653604|6908|723790|7270|7343|79101|79595|79685|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|84172|8467|85236|8819|8932|8968|8970|9013|9014|9015|902|94239|9533	1022|10284|10849|11176|121504|126961|128312|1786|1789|2068|2071|221830|23309|255626|25885|25942|29115|2965|2966|2967|2968|3012|3013|3014|3015|3017|3018|3020|3021|3065|3066|30834|333932|404672|4331|474382|51082|51742|5434|5435|5437|5440|5441|554313|55766|64425|64426|653604|6908|723790|7270|7343|79101|79595|79685|8294|8331|8334|8335|8337|8338|8339|8340|8341|8342|8343|8344|8345|8346|8347|8348|8349|8350|8351|8352|8353|8354|8355|8356|8357|8358|8359|8360|8361|8362|8363|8364|8365|8366|8367|8368|8370|84172|8467|85236|8819|8932|8968|8970|9013|9014|9015|902|94239|9533
R-HSA-427589	Type II Na+/Pi cotransporters	http://identifiers.org/reactome/R-HSA-427589	3	3	reactome		10568|142680|6569	10568|142680|6569
R-HSA-427601	Multifunctional anion exchangers	http://identifiers.org/reactome/R-HSA-427601	9	9	reactome		10861|115019|115111|159963|1811|1836|284129|5172|65010	10861|115019|115111|159963|1811|1836|284129|5172|65010
R-HSA-427652	Sodium-coupled phosphate cotransporters	http://identifiers.org/reactome/R-HSA-427652	2	2	reactome		6574|6575	6574|6575
R-HSA-427975	Proton/oligopeptide cotransporters	http://identifiers.org/reactome/R-HSA-427975	4	4	reactome		121260|51296|6564|6565	121260|51296|6564|6565
R-HSA-428359	Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	http://identifiers.org/reactome/R-HSA-428359	7	7	reactome		10642|10643|10644|3481|4609|60|960	10642|10643|10644|3481|4609|60|960
R-HSA-428540	Activation of RAC1	http://identifiers.org/reactome/R-HSA-428540	12	12	reactome		10298|4690|5058|5062|5063|56924|5879|6091|6654|6655|8440|9353	10298|4690|5058|5062|5063|56924|5879|6091|6654|6655|8440|9353
R-HSA-428542	Regulation of commissural axon pathfinding by SLIT and ROBO	http://identifiers.org/reactome/R-HSA-428542	10	10	reactome		1630|4753|6091|6092|64221|6585|6586|6714|9353|9423	1630|4753|6091|6092|64221|6585|6586|6714|9353|9423
R-HSA-428543	Inactivation of CDC42 and RAC1	http://identifiers.org/reactome/R-HSA-428543	8	8	reactome		23380|57522|5879|6091|80728|9353|9901|998	23380|57522|5879|6091|80728|9353|9901|998
R-HSA-428559	Proton-coupled neutral amino acid transporters	http://identifiers.org/reactome/R-HSA-428559	2	2	reactome		153201|206358	153201|206358
R-HSA-428643	Organic anion transporters	http://identifiers.org/reactome/R-HSA-428643	10	10	reactome		1468|160728|246213|26503|57030|57084|6528|6568|79751|83733	1468|160728|246213|26503|57030|57084|6528|6568|79751|83733
R-HSA-428890	Role of ABL in ROBO-SLIT signaling	http://identifiers.org/reactome/R-HSA-428890	8	8	reactome		10486|10487|23122|23332|25|27|6091|9353	10486|10487|23122|23332|25|27|6091|9353
R-HSA-428930	Thromboxane signalling through TP receptor	http://identifiers.org/reactome/R-HSA-428930	23	23	reactome		10672|10681|2767|2769|2776|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|51764|54331|55970|59345|6915|94235|9630	10672|10681|2767|2769|2776|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|51764|54331|55970|59345|6915|94235|9630
R-HSA-429593	Inositol transporters	http://identifiers.org/reactome/R-HSA-429593	3	3	reactome		114134|115584|6526	114134|115584|6526
R-HSA-429947	Deadenylation of mRNA	http://identifiers.org/reactome/R-HSA-429947	25	25	reactome		10605|1973|1974|1975|1977|1981|23019|23318|246175|255967|25904|26986|29883|4848|4849|4850|5073|55571|57472|79670|85456|9125|9337|9775|9924	10605|1973|1974|1975|1977|1981|23019|23318|246175|255967|25904|26986|29883|4848|4849|4850|5073|55571|57472|79670|85456|9125|9337|9775|9924
R-HSA-429958	mRNA decay by 3' to 5' exoribonuclease	http://identifiers.org/reactome/R-HSA-429958	16	16	reactome		10767|11340|115024|118460|22894|23016|23404|28960|51010|51013|5393|54512|56915|6499|80349|9652	10767|11340|115024|118460|22894|23016|23404|28960|51010|51013|5393|54512|56915|6499|80349|9652
R-HSA-430039	mRNA decay by 5' to 3' exoribonuclease	http://identifiers.org/reactome/R-HSA-430039	15	15	reactome		11157|1656|167227|196513|219988|23644|23658|25804|27257|27258|51690|54464|55802|57819|80153	11157|1656|167227|196513|219988|23644|23658|25804|27257|27258|51690|54464|55802|57819|80153
R-HSA-430116	GP1b-IX-V activation signalling	http://identifiers.org/reactome/R-HSA-430116	10	10	reactome		2316|2811|2812|2814|2815|5295|5894|6714|7450|7534	2316|2811|2812|2814|2815|5295|5894|6714|7450|7534
R-HSA-432030	Transport of glycerol from adipocytes to the liver by Aquaporins	http://identifiers.org/reactome/R-HSA-432030	2	2	reactome		364|366	364|366
R-HSA-432040	Vasopressin regulates renal water homeostasis via Aquaporins	http://identifiers.org/reactome/R-HSA-432040	43	43	reactome		10681|107|108|109|111|112|113|114|115|196883|22841|2778|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|358|359|360|361|4645|51764|54331|551|554|5566|5567|5568|5573|5575|5576|5577|55970|59345|8766|94235	10681|107|108|109|111|112|113|114|115|196883|22841|2778|2782|2783|2784|2785|2786|2787|2788|2790|2791|2792|2793|358|359|360|361|4645|51764|54331|551|554|5566|5567|5568|5573|5575|5576|5577|55970|59345|8766|94235
R-HSA-432047	Passive transport by Aquaporins	http://identifiers.org/reactome/R-HSA-432047	13	13	reactome		282679|343|358|359|360|361|362|363|364|366|375318|4284|89872	282679|343|358|359|360|361|362|363|364|366|375318|4284|89872
R-HSA-432142	Platelet sensitization by LDL	http://identifiers.org/reactome/R-HSA-432142	17	17	reactome		1432|2268|338|5175|5321|5515|5516|5518|5519|5525|5526|5527|5528|5529|5777|5781|7804	1432|2268|338|5175|5321|5515|5516|5518|5519|5525|5526|5527|5528|5529|5777|5781|7804
R-HSA-432720	Lysosome Vesicle Biogenesis	http://identifiers.org/reactome/R-HSA-432720	35	35	reactome		10053|10717|11154|1174|1211|1212|1213|130340|134829|1522|157807|162|164|1777|1785|23431|2647|27243|2799|3312|351|375|4074|408|6456|6844|6845|81567|8673|8905|8906|8907|9146|9179|9829	10053|10717|11154|1174|1211|1212|1213|130340|134829|1522|157807|162|164|1777|1785|23431|2647|27243|2799|3312|351|375|4074|408|6456|6844|6845|81567|8673|8905|8906|8907|9146|9179|9829
R-HSA-432722	Golgi Associated Vesicle Biogenesis	http://identifiers.org/reactome/R-HSA-432722	56	56	reactome		10053|10618|10717|1174|1176|1211|1213|130340|1362|152503|162|164|1785|23431|23557|2495|2512|2580|25977|26258|2647|27131|2804|286451|3312|3482|375|388552|408|4952|51429|5286|54885|55330|5878|6272|6456|64746|6643|6844|6845|7037|7163|7164|81567|8301|84062|8546|8673|8775|8905|8907|9026|9685|9698|9829	10053|10618|10717|1174|1176|1211|1213|130340|1362|152503|162|164|1785|23431|23557|2495|2512|2580|25977|26258|2647|27131|2804|286451|3312|3482|375|388552|408|4952|51429|5286|54885|55330|5878|6272|6456|64746|6643|6844|6845|7037|7163|7164|81567|8301|84062|8546|8673|8775|8905|8907|9026|9685|9698|9829
R-HSA-433137	Sodium-coupled sulphate, di- and tri-carboxylate transporters	http://identifiers.org/reactome/R-HSA-433137	5	5	reactome		26266|284111|64849|6561|9058	26266|284111|64849|6561|9058
R-HSA-433692	Proton-coupled monocarboxylate transport	http://identifiers.org/reactome/R-HSA-433692	6	6	reactome		133418|23539|6566|682|9123|9194	133418|23539|6566|682|9123|9194
R-HSA-4341670	Defective NEU1 causes sialidosis	http://identifiers.org/reactome/R-HSA-4341670	3	3	reactome		2720|4758|5476	2720|4758|5476
R-HSA-434313	Intracellular metabolism of fatty acids regulates insulin secretion	http://identifiers.org/reactome/R-HSA-434313	3	3	reactome		2181|2182|948	2181|2182|948
R-HSA-434316	Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	http://identifiers.org/reactome/R-HSA-434316	8	8	reactome		23236|2767|2769|2776|2864|5330|5331|9630	23236|2767|2769|2776|2864|5330|5331|9630
R-HSA-435368	Zinc efflux and compartmentalization by the SLC30 family	http://identifiers.org/reactome/R-HSA-435368	7	7	reactome		148867|169026|55676|64924|7779|7780|7781	148867|169026|55676|64924|7779|7780|7781
R-HSA-437239	Recycling pathway of L1	http://identifiers.org/reactome/R-HSA-437239	28	28	reactome		1173|1175|1211|1213|160|161|163|1759|1785|1808|24137|26052|27330|285643|3897|4478|5594|57698|5962|6195|6196|6197|6456|6714|7430|8650|8986|9252	1173|1175|1211|1213|160|161|163|1759|1785|1808|24137|26052|27330|285643|3897|4478|5594|57698|5962|6195|6196|6197|6456|6714|7430|8650|8986|9252
R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	http://identifiers.org/reactome/R-HSA-438066	21	21	reactome		1739|1740|1741|1742|2890|2891|2892|2893|2902|2903|2904|2905|2906|4747|57554|801|815|816|817|818|88	1739|1740|1741|1742|2890|2891|2892|2893|2902|2903|2904|2905|2906|4747|57554|801|815|816|817|818|88
R-HSA-4411364	Binding of TCF/LEF:CTNNB1 to target gene promoters	http://identifiers.org/reactome/R-HSA-4411364	8	8	reactome		1499|4609|51176|6932|6934|8313|83439|864	1499|4609|51176|6932|6934|8313|83439|864
R-HSA-4419969	Depolymerisation of the Nuclear Lamina	http://identifiers.org/reactome/R-HSA-4419969	15	15	reactome		2010|221496|23175|23399|23592|255919|4000|4001|5578|5579|64900|7112|891|9663|983	2010|221496|23175|23399|23592|255919|4000|4001|5578|5579|64900|7112|891|9663|983
R-HSA-4420097	VEGFA-VEGFR2 Pathway	http://identifiers.org/reactome/R-HSA-4420097	60	60	reactome		10006|10152|10163|10451|10458|10787|10810|1398|1432|1535|1536|1793|2185|23191|2534|25759|26999|3071|3315|3320|3685|3690|3791|387|4688|4689|4690|5062|5290|5291|5295|5296|5566|5567|5568|558|55845|5600|5603|5747|5829|5879|6093|6300|63916|6461|653361|6714|7409|7410|7422|7867|8440|8936|9047|9261|9475|9564|9844|998	10006|10152|10163|10451|10458|10787|10810|1398|1432|1535|1536|1793|2185|23191|2534|25759|26999|3071|3315|3320|3685|3690|3791|387|4688|4689|4690|5062|5290|5291|5295|5296|5566|5567|5568|558|55845|5600|5603|5747|5829|5879|6093|6300|63916|6461|653361|6714|7409|7410|7422|7867|8440|8936|9047|9261|9475|9564|9844|998
R-HSA-4420332	Defective B3GALT6 causes EDSP2 and SEMDJL1	http://identifiers.org/reactome/R-HSA-4420332	20	20	reactome		10082|10675|126792|1462|1463|1464|1634|221914|2239|2262|2719|2817|3339|375790|633|6382|63827|6383|6385|9672	10082|10675|126792|1462|1463|1464|1634|221914|2239|2262|2719|2817|3339|375790|633|6382|63827|6383|6385|9672
R-HSA-442380	Zinc influx into cells by the SLC39 gene family	http://identifiers.org/reactome/R-HSA-442380	10	10	reactome		23516|25800|27173|283375|29985|29986|55630|57181|64116|7922	23516|25800|27173|283375|29985|29986|55630|57181|64116|7922
R-HSA-442660	Na+/Cl- dependent neurotransmitter transporters	http://identifiers.org/reactome/R-HSA-442660	19	19	reactome		11254|340024|348932|54716|55117|6529|6530|6531|6533|6534|6536|6538|6539|6540|6570|6571|6580|6582|9152	11254|340024|348932|54716|55117|6529|6530|6531|6533|6534|6536|6538|6539|6540|6570|6571|6580|6582|9152
R-HSA-442720	CREB1 phosphorylation through the activation of Adenylate Cyclase	http://identifiers.org/reactome/R-HSA-442720	12	12	reactome		107|114|1385|5566|5567|5568|5573|5575|5576|5577|5613|801	107|114|1385|5566|5567|5568|5573|5575|5576|5577|5613|801
R-HSA-442729	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	http://identifiers.org/reactome/R-HSA-442729	8	8	reactome		10645|1385|3838|801|814|816|818|84254	10645|1385|3838|801|814|816|818|84254
R-HSA-442742	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	http://identifiers.org/reactome/R-HSA-442742	5	5	reactome		1385|27330|6195|6196|6197	1385|27330|6195|6196|6197
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	http://identifiers.org/reactome/R-HSA-442982	20	20	reactome		1739|1740|1741|1742|2902|2904|2906|3265|3845|4747|4893|57554|5923|5924|801|815|816|817|818|88	1739|1740|1741|1742|2902|2904|2906|3265|3845|4747|4893|57554|5923|5924|801|815|816|817|818|88
R-HSA-444209	Free fatty acid receptors	http://identifiers.org/reactome/R-HSA-444209	5	5	reactome		105372382|2853|2864|2865|338557	105372382|2853|2864|2865|338557
R-HSA-444257	RSK activation	http://identifiers.org/reactome/R-HSA-444257	7	7	reactome		27330|5170|5594|5595|6195|6196|6197	27330|5170|5594|5595|6195|6196|6197
R-HSA-444411	Rhesus glycoproteins mediate ammonium transport.	http://identifiers.org/reactome/R-HSA-444411	3	3	reactome		51458|57127|6005	51458|57127|6005
R-HSA-444473	Formyl peptide receptors bind formyl peptides and many other ligands	http://identifiers.org/reactome/R-HSA-444473	8	8	reactome		2357|2358|2359|301|351|50865|6288|6368	2357|2358|2359|301|351|50865|6288|6368
R-HSA-444821	Relaxin receptors	http://identifiers.org/reactome/R-HSA-444821	8	8	reactome		10022|117579|122042|339403|3640|51289|59350|6019	10022|117579|122042|339403|3640|51289|59350|6019
R-HSA-445095	Interaction between L1 and Ankyrins	http://identifiers.org/reactome/R-HSA-445095	29	29	reactome		11280|23114|286|287|288|3785|3786|3897|4897|51332|55800|57731|6323|6324|6326|6327|6328|6329|6330|6331|6332|6334|6335|6336|6708|6709|6710|6711|6712	11280|23114|286|287|288|3785|3786|3897|4897|51332|55800|57731|6323|6324|6326|6327|6328|6329|6330|6331|6332|6334|6335|6336|6708|6709|6710|6711|6712
R-HSA-445144	Signal transduction by L1	http://identifiers.org/reactome/R-HSA-445144	21	21	reactome		1457|1459|1460|1956|2260|3674|3678|3680|3685|3688|3690|3897|4684|5058|5594|5595|5604|5605|5879|7410|8829	1457|1459|1460|1956|2260|3674|3678|3680|3685|3688|3690|3897|4684|5058|5594|5595|5604|5605|5879|7410|8829
R-HSA-445355	Smooth Muscle Contraction	http://identifiers.org/reactome/R-HSA-445355	39	38	reactome		10174|103910|10398|10580|10627|140465|25802|2974|2977|2982|2983|29895|301|302|309|3672|3693|4629|4636|4637|4638|493829|5058|5062|5829|58498|59|7094|7168|7169|7170|7171|72|7414|800|801|8291|859|93408	10174|103910|10398|10580|10627|140465|25802|2977|2982|2983|29895|301|302|309|3672|3693|4629|4636|4637|4638|493829|5058|5062|5829|58498|59|7094|7168|7169|7170|7171|72|7414|800|801|8291|859|93408
R-HSA-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	http://identifiers.org/reactome/R-HSA-445989	28	28	reactome		10392|10454|1147|177|23118|257397|28511|28512|3146|351|3551|3654|3656|4790|4791|4792|4793|5970|6283|6285|6288|64127|6885|7189|7334|7335|8517|8767	10392|10454|1147|177|23118|257397|28511|28512|3146|351|3551|3654|3656|4790|4791|4792|4793|5970|6283|6285|6288|64127|6885|7189|7334|7335|8517|8767
R-HSA-446107	Type I hemidesmosome assembly	http://identifiers.org/reactome/R-HSA-446107	9	9	reactome		1308|3655|3691|3909|3914|3918|5339|667|977	1308|3655|3691|3909|3914|3918|5339|667|977
R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	http://identifiers.org/reactome/R-HSA-446193	15	15	reactome		10195|144245|1798|199857|29929|440138|56052|79053|79087|79796|79868|84920|85365|91869|9526	10195|144245|1798|199857|29929|440138|56052|79053|79087|79796|79868|84920|85365|91869|9526
R-HSA-446199	Synthesis of Dolichyl-phosphate	http://identifiers.org/reactome/R-HSA-446199	6	6	reactome		116150|22845|4597|57171|79644|79947	116150|22845|4597|57171|79644|79947
R-HSA-446203	Asparagine N-linked glycosylation	http://identifiers.org/reactome/R-HSA-446203	11	11	reactome		124872|1603|1650|3703|432|433|6184|6185|7369|7991|84061	124872|1603|1650|3703|432|433|6184|6185|7369|7991|84061
R-HSA-446205	Synthesis of GDP-mannose	http://identifiers.org/reactome/R-HSA-446205	5	5	reactome		29925|29926|4351|5372|5373	29925|29926|4351|5372|5373
R-HSA-446210	Synthesis of UDP-N-acetyl-glucosamine	http://identifiers.org/reactome/R-HSA-446210	8	8	reactome		2673|51005|5238|55577|5973|64841|6675|9945	2673|51005|5238|55577|5973|64841|6675|9945
R-HSA-446343	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	http://identifiers.org/reactome/R-HSA-446343	4	4	reactome		3611|3688|55742|5829	3611|3688|55742|5829
R-HSA-446353	Cell-extracellular matrix interactions	http://identifiers.org/reactome/R-HSA-446353	10	10	reactome		10979|2316|2318|29780|3611|3987|54751|55679|55742|7408	10979|2316|2318|29780|3611|3987|54751|55679|55742|7408
R-HSA-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	http://identifiers.org/reactome/R-HSA-446388	8	8	reactome		29780|3987|55742|5829|6251|7016|87|9459	29780|3987|55742|5829|6251|7016|87|9459
R-HSA-447038	NrCAM interactions	http://identifiers.org/reactome/R-HSA-447038	7	7	reactome		1739|1741|1742|286|4897|6900|8828	1739|1741|1742|286|4897|6900|8828
R-HSA-447041	CHL1 interactions	http://identifiers.org/reactome/R-HSA-447041	9	9	reactome		10752|27255|286|3312|3672|3673|3688|8515|8829	10752|27255|286|3312|3672|3673|3688|8515|8829
R-HSA-447043	Neurofascin interactions	http://identifiers.org/reactome/R-HSA-447043	7	7	reactome		1272|1641|23114|286|4897|6386|8506	1272|1641|23114|286|4897|6386|8506
R-HSA-448424	Interleukin-17 signaling	http://identifiers.org/reactome/R-HSA-448424	8	8	reactome		112744|132014|23765|27189|3605|55540|64806|84818	112744|132014|23765|27189|3605|55540|64806|84818
R-HSA-448706	Interleukin-1 processing	http://identifiers.org/reactome/R-HSA-448706	8	8	reactome		1511|3552|3553|3606|4790|4791|5970|834	1511|3552|3553|3606|4790|4791|5970|834
R-HSA-449836	Other interleukin signaling	http://identifiers.org/reactome/R-HSA-449836	24	24	reactome		1435|1436|1440|1441|146433|163702|200081|282618|3588|3603|3716|5657|5803|6382|6616|6804|6809|6810|6813|6844|7297|836|920|9235	1435|1436|1440|1441|146433|163702|200081|282618|3588|3603|3716|5657|5803|6382|6616|6804|6809|6810|6813|6844|7297|836|920|9235
R-HSA-450302	activated TAK1 mediates p38 MAPK activation	http://identifiers.org/reactome/R-HSA-450302	19	19	reactome		10392|10454|1432|23118|257397|3654|3656|5600|5606|5608|64127|6885|7189|7334|7335|7867|8517|8767|9261	10392|10454|1432|23118|257397|3654|3656|5600|5606|5608|64127|6885|7189|7334|7335|7867|8517|8767|9261
R-HSA-450321	JNK (c-Jun kinases) phosphorylation and activation mediated by activated human TAK1	http://identifiers.org/reactome/R-HSA-450321	18	18	reactome		10392|10454|23118|257397|3654|3656|5599|5601|5602|5609|64127|6416|6885|7189|7334|7335|8517|8767	10392|10454|23118|257397|3654|3656|5599|5601|5602|5609|64127|6416|6885|7189|7334|7335|8517|8767
R-HSA-450341	Activation of the AP-1 family of transcription factors	http://identifiers.org/reactome/R-HSA-450341	10	10	reactome		1386|1432|2353|3725|5594|5595|5599|5600|5601|5602	1386|1432|2353|3725|5594|5595|5599|5600|5601|5602
R-HSA-450385	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	http://identifiers.org/reactome/R-HSA-450385	17	17	reactome		11340|118460|167227|207|22894|23016|23404|51010|51013|5393|54464|54512|55802|56915|677|7529|9261	11340|118460|167227|207|22894|23016|23404|51010|51013|5393|54464|54512|55802|56915|677|7529|9261
